market,event_type,timestamp,signature,slot,sequence_number,event_index,maker,taker,price,side,quantity
5iLqmcg8vifdnnw6wEpVtQxFE4Few5uiceDWzi3jvzH8,Fill,1671434914,247NxnT78QERLHxYz3zppLPVo6JANPXxmXtuviXU6FAgkTKCzpgvca5VnFi2i24ibstPLrNCnjfLkR9qm4VUrayZ,183115495,1138788,0,mkrc4jMLEPRoKLUnNL7Ctnwb7uJykbwiYvFjB4sw9Z9,7gkuBN82Zmwey6MZFBM4bHsNdc6sjuPbujsXa9XJqtZT,12.255,Ask,1.0
5iLqmcg8vifdnnw6wEpVtQxFE4Few5uiceDWzi3jvzH8,Fill,1671434908,4Qu8VSUC4khuDEURjmMMeKi2CgGZQ7SaWu8rXPBRa2PHCbzULGiFeymtTNLEnanryFQX7sa6wmcModxD6Cx34DhB,183115480,1138771,0,mkrc4jMLEPRoKLUnNL7Ctnwb7uJykbwiYvFjB4sw9Z9,7gkuBN82Zmwey6MZFBM4bHsNdc6sjuPbujsXa9XJqtZT,12.5,Ask,1.0
5iLqmcg8vifdnnw6wEpVtQxFE4Few5uiceDWzi3jvzH8,Fill,1671434896,542wocmWLUpmY7eeCiRGmYGC91RaXGuUV9iDQVRCDTg4qS9g5fs7W9nixoqec4Y9wG8J3rfj1PE27PYH1vaxNurB,183115452,1138753,0,mkrc4jMLEPRoKLUnNL7Ctnwb7uJykbwiYvFjB4sw9Z9,7gkuBN82Zmwey6MZFBM4bHsNdc6sjuPbujsXa9XJqtZT,12.245,Bid,1.0
5iLqmcg8vifdnnw6wEpVtQxFE4Few5uiceDWzi3jvzH8,Fill,1671434884,5CqdXi5Qnqfh36JMvmEgKCep6RWx3iSZ7krevLviuWRMxCv27KJLini6gnfho9676xacvD2rUitcgRdJNCLC2XDg,183115424,1138736,0,mkrc4jMLEPRoKLUnNL7Ctnwb7uJykbwiYvFjB4sw9Z9,7gkuBN82Zmwey6MZFBM4bHsNdc6sjuPbujsXa9XJqtZT,12.245,Bid,1.0
5iLqmcg8vifdnnw6wEpVtQxFE4Few5uiceDWzi3jvzH8,Fill,1671434876,5kXJZCAKzKuSFehJ7RkKCdFBmxFSdG9Zgj1PLcmCRsa4RGmUA5PpdwKYCLDzfqPqkivM9BsjtaaGd1yZhSpczY5D,183115408,1138719,0,mkrc4jMLEPRoKLUnNL7Ctnwb7uJykbwiYvFjB4sw9Z9,7gkuBN82Zmwey6MZFBM4bHsNdc6sjuPbujsXa9XJqtZT,12.245,Bid,1.0
5iLqmcg8vifdnnw6wEpVtQxFE4Few5uiceDWzi3jvzH8,Fill,1671434866,24qbCj7SsepiJb8tZmcF7onnC31DtU8DmQCpbgry67GpUAqTMfziLeFGeCZeFh1h34PMqqqqcXZwLoi3UFhr3AQg,183115380,1138702,0,mkrc4jMLEPRoKLUnNL7Ctnwb7uJykbwiYvFjB4sw9Z9,7gkuBN82Zmwey6MZFBM4bHsNdc6sjuPbujsXa9XJqtZT,12.255,Ask,1.0
5iLqmcg8vifdnnw6wEpVtQxFE4Few5uiceDWzi3jvzH8,Fill,1671434847,64Gr2CtKG3AAAzqjFHb1EzKLniSfPCDf7PqZATWQYQmLtXJqmQk5X4JLgE1mZ8p6ApSeveYxsceKbyYUp8RpZBo8,183115329,1138673,0,mkrc4jMLEPRoKLUnNL7Ctnwb7uJykbwiYvFjB4sw9Z9,7gkuBN82Zmwey6MZFBM4bHsNdc6sjuPbujsXa9XJqtZT,12.255,Ask,1.0
5iLqmcg8vifdnnw6wEpVtQxFE4Few5uiceDWzi3jvzH8,Fill,1671434836,7KGXEeEv9NTbQhS2K8DUPe1nyDjETy2679JMZdznGq1nUSS1iMNSniULLqo7QyapiKHpgbgxtxenFursju8ffUn,183115301,1138660,0,mkrc4jMLEPRoKLUnNL7Ctnwb7uJykbwiYvFjB4sw9Z9,7gkuBN82Zmwey6MZFBM4bHsNdc6sjuPbujsXa9XJqtZT,12.255,Ask,1.0
5iLqmcg8vifdnnw6wEpVtQxFE4Few5uiceDWzi3jvzH8,Fill,1671434830,3u7zYN5F5pmhiBRTwBB1y9sRZibsgmnfN2UJmiWfGKuu4ntjLpa7BAfbB67xpLYtUaPGztoNAaNhrTA2fQwmLos4,183115285,1138643,0,mkrc4jMLEPRoKLUnNL7Ctnwb7uJykbwiYvFjB4sw9Z9,7gkuBN82Zmwey6MZFBM4bHsNdc6sjuPbujsXa9XJqtZT,12.5,Ask,1.0
5iLqmcg8vifdnnw6wEpVtQxFE4Few5uiceDWzi3jvzH8,Fill,1671434818,3AAakhncUvG8Gk8tp7u8fxfxhG4uQ2VvQ2TGXoYJr2WbFjouRBNTqSbJvJRjdmvHGE5LH52MxDgyh293roHfTAdp,183115260,1138625,0,mkrc4jMLEPRoKLUnNL7Ctnwb7uJykbwiYvFjB4sw9Z9,7gkuBN82Zmwey6MZFBM4bHsNdc6sjuPbujsXa9XJqtZT,12.255,Ask,1.0
5iLqmcg8vifdnnw6wEpVtQxFE4Few5uiceDWzi3jvzH8,Fill,1671434804,5JWib4MzdGipcypyBbFfKsHmgXPqP1rpwqkyrQiLRpbDGZKqsP1kmbJ3Q93L3GLY7SimkApU9zRWqZsuCWkB23LD,183115223,1138608,0,mkrc4jMLEPRoKLUnNL7Ctnwb7uJykbwiYvFjB4sw9Z9,7gkuBN82Zmwey6MZFBM4bHsNdc6sjuPbujsXa9XJqtZT,12.245,Bid,1.0
5iLqmcg8vifdnnw6wEpVtQxFE4Few5uiceDWzi3jvzH8,Fill,1671434798,mpy8TtmYLRYtFEGM4s3xz4tqxqEnLLAHL9kE57GSYZ41qVRWDReuNFcyZpcJYLGxP5CA7Gq62YNDz4RkzHVmRdU,183115208,1138591,0,mkrc4jMLEPRoKLUnNL7Ctnwb7uJykbwiYvFjB4sw9Z9,7gkuBN82Zmwey6MZFBM4bHsNdc6sjuPbujsXa9XJqtZT,12.185,Bid,1.0
5iLqmcg8vifdnnw6wEpVtQxFE4Few5uiceDWzi3jvzH8,Fill,1671434788,2pxB4UwAde9NGJoBeai4qyfFvmTbN6W4JpqJD7uCLpUonhHZXFuvzDZuH9NFKfSsBKhU422RQi1UBCSCYRKFSbjo,183115181,1138585,0,mkrc4jMLEPRoKLUnNL7Ctnwb7uJykbwiYvFjB4sw9Z9,7gkuBN82Zmwey6MZFBM4bHsNdc6sjuPbujsXa9XJqtZT,12.245,Bid,1.0
5iLqmcg8vifdnnw6wEpVtQxFE4Few5uiceDWzi3jvzH8,Fill,1671434781,3WzBDQcWJ3DUQWpCBNtYJnaAKWjZ5z7DGcb91pkx2nB8YWbrNywfxJZXYykJPCkEaLuCrxFvKQus1AhnRvYeTgjG,183115165,1138584,0,mkrc4jMLEPRoKLUnNL7Ctnwb7uJykbwiYvFjB4sw9Z9,7gkuBN82Zmwey6MZFBM4bHsNdc6sjuPbujsXa9XJqtZT,12.255,Ask,1.0
5iLqmcg8vifdnnw6wEpVtQxFE4Few5uiceDWzi3jvzH8,Fill,1671434769,mWjWku7UvUgVCu2hDNy5A7abvN2btAmmiB64Ldr6289VZkKCSyA8E5JDBU72FgTtjhrj9Eq7BMfGUtRU8P2asbF,183115133,1138561,0,mkrc4jMLEPRoKLUnNL7Ctnwb7uJykbwiYvFjB4sw9Z9,7gkuBN82Zmwey6MZFBM4bHsNdc6sjuPbujsXa9XJqtZT,12.25,Ask,1.0
